"用户ID","特征","清洁效率","耗材","对比","时间"
1001,"65㎡公寓 | 单身 | 木地板","覆盖率:85%\n日均清扫:45㎡\n漏扫区域:沙发底部（高度不足）","主刷寿命:剩余60天\nHEPA滤网:剩余40%","优于65%同面积用户（清洁频率更高）","2025-01"
1002,"70㎡公寓 | 情侣 | 瓷砖","覆盖率:88%\n避障失败:2次/周（电线缠绕）","边刷磨损:中度\n尘盒清理:每3天","拖地功能使用率低于同类30%","2025-01"
1003,"90㎡ | 1狗 | 短毛地毯","毛发清理:92%\n地毯增压使用:15次/月","胶刷更换:剩余25天\n尘盒容量:每日清理","毛发处理效率前15%","2025-01"
1004,"85㎡ | 2猫 | 混合地面","猫砂泼洒处理:8次/月\n自动回充成功率:89%","主刷缠绕:严重\n滤网更换:急需","建议升级吸力至2500Pa","2025-01"
1005,"120㎡ | 老人 | 防滑砖","手动操作占比:95%\n定时清扫未使用","电池衰减:25%\n水箱未激活","急需语音控制功能","2025-01"
1006,"150㎡别墅 | 儿童 | 多层","跨楼层失败:3次/周\n玩具避障率:76%","边刷更换:2次/季度\n集尘袋消耗:1个/月","建议增加机械臂配件","2025-01"
1001,"65㎡公寓 | 单身 | 木地板","覆盖率:85%\n日均清扫:45㎡\n漏扫区域:沙发底部（高度不足）","主刷寿命:剩余60天\nHEPA滤网:剩余40%","优于65%同面积用户（清洁频率更高）","2025-06"
1002,"70㎡公寓 | 情侣 | 瓷砖","覆盖率:88%\n避障失败:2次/周（电线缠绕）","边刷磨损:中度\n尘盒清理:每3天","拖地功能使用率低于同类30%","2025-06"
1003,"90㎡ | 1狗 | 短毛地毯","毛发清理:92%\n地毯增压使用:15次/月","胶刷更换:剩余25天\n尘盒容量:每日清理","毛发处理效率前15%","2025-06"
1004,"85㎡ | 2猫 | 混合地面","猫砂泼洒处理:8次/月\n自动回充成功率:89%","主刷缠绕:严重\n滤网更换:急需","建议升级吸力至2500Pa","2025-06"
1005,"120㎡ | 老人 | 防滑砖","手动操作占比:95%\n定时清扫未使用","电池衰减:25%\n水箱未激活","急需语音控制功能","2025-06"
1006,"150㎡别墅 | 儿童 | 多层","跨楼层失败:3次/周\n玩具避障率:76%","边刷更换:2次/季度\n集尘袋消耗:1个/月","建议增加机械臂配件","2025-06"